reaction	g0
ALAR	0
ALATA_L	-0.2
ASNN	0
ASNS1	0
ASNS2	-25
ASPT	13.2
ASPTA	0
DAAD	0
VPAMT	0
2METS	0
ACHMSC	-72
ACNML	7.7
ADNUC	-6
AGDC	-9
ALCD19	36.7
ALDD19x	-42.2
ALDD2x	-54.5
AMALT1	-2.9
AMALT2	0.4
AMALT3	-1.3
AMALT4	-1.3
AMANAPEr	-2.1
APG	0
ARAI	0
BETALDHx	-41.3
BETALDHy	-41.3
DHACOAH	0.4
DHAPT	-39.9
DHPTDNRN	0
DRPA	20.3
F6PP	-12
FFSD	-21
FRUK	-18
G3PD2	-23.2
G3PT	-13
G6PDA	1.1
GLCATr	-2.2
GLCRD	-41
GLYCDx	-21.5
GLYK	-16.1
GNK	-12
GUI1	0.6
HCO3E	-7.5
HEX7	-17.1
HPYRI	1.6
HSST_2	-30
HXCT	0
LYXI	13.8
MALGT	0.4
MALTATr	-4
MAN1PG	-8.5
MAN6PI	-1.2
MCITL2	0
MM_COA_ADD5	-5
MMM2	8.4
MSDH	0
PFK_2	-20.5
PGLYCP	-31.4
PGMT	7.4
PMANM	-4.5
PPASUCC	0
RBK	-28.8
SUCptsp	-1811.4
TRE6p	-9.5
TRE6PP	-4.2
TRE6PS	-18.2
UACGAMPpp	-33
UDPARA	0
UDPG4E	1.3
UDPGALPpp	-37
UDPGPpp	-40
UGLCURPpp	-33
XYLI1	0
XYLI2	0.12
XYLK	-24.3
GALKr	-15.8
M1PD	-7.6
MAN2D	-7.5
MCITD	-2.9
HDPA1	14.8
HDPA2	-14.4
ICL	9.5
MALS	0
ME1	0
ME2	0
PPA	-16.53
PPA2	0
PPC	-39.7
PPCK	10.6
ABTA	6.5
ACGK	24.6
ACGS	-25.2
ACODA	-7.1
ACOTA	3.2
AGPR	-5.1
AMPTASEPG	28
ARGSL	-10
CBPS	-13.5
CSND	0
G5SADs	-36
G5SD	-8.2
GLU5K	28.8
OCBT	-30.2
ORNC	-23
P5CD	-14
P5CR	-16
PROD2	0
SPMDAT1	-23
SPMDAT2	-23
SPMS	0
SSALy	-41.3
UREAAH	-25
ARGSS	18
CG_biomass_cgl_ATCC13032	0
BAMPN	0
BIOTIN_t	-29.14
BTNAMP	0
3HAD100	0
3HAD120	0
3HAD121	0
3HAD140	0
3HAD141	0
3HAD160	0
3HAD161	0
3HAD180	0
3HAD181	0
3HAD40	0
3HAD60	0
3HAD80	0
3OAR100	0
3OAR120	0
3OAR140	0
3OAR160	0
3OAR180	0
3OAR40	0
3OAR60	0
3OAR80	0
3OAS100	0
3OAS120	0
3OAS121	0
3OAS140	0
3OAS141	0
3OAS160	0
3OAS161	0
3OAS180	0
3OAS181	0
3OAS60	0
3OAS80	0
AACPS1	0
AACPS2	0
AACPS3	0
AACPS4	0
AACPS5	0
AACPS6	0
AACPS7	0
AACPS8	0
AACPS9	0
ALAALAr	-27
CDPDAG	0
CLPN	0
EAR100x	0
EAR100y	0
EAR120x	0
EAR120y	0
EAR121x	0
EAR121y	0
EAR140x	0
EAR140y	0
EAR141x	0
EAR141y	0
EAR160x	0
EAR160y	0
EAR161x	0
EAR161y	0
EAR180x	0
EAR180y	0
EAR181x	0
EAR181y	0
EAR40x	0
EAR40y	0
EAR60x	0
EAR60y	0
EAR80x	0
EAR80y	0
FA100ACPHi	0
FA120ACPHi	0
FA140ACPHi	0
FA141ACPHi	0
FA160ACPHi	0
FA161ACPHi	0
FA80ACPHi	0
FACOAL100t2pp	0
FACOAL120t2pp	0
FACOAL140t2pp	0
FACOAL141t2pp	0
FACOAL160t2pp	-13
FACOAL161t2pp	0
FACOAL180t2pp	-12.7
FACOAL181t2pp	0
FACOAL60t2pp	0
FACOAL80t2pp	-12.7
G1PACT	-24
GF6PTA	-15.4
GLUR	0.6
INPTH	-60
MI1PP	-22.9
PGAMT	3
PIM	0
PIT	0
T2DECAI	0
TDPGDH	-47.5
UAAGDS	-24.5
UAGCVT	-15
UAGDP	-8.1
UAGPT3	-14.5
UAMAGS	-32.4
UAMAS	-30
UAMDH	-56
UDCPDP	-33.7
UDPGALM	2.7
UDPGD	-26.7
UGMDDS	-32.4
3OAR121	0
3OAR141	0
3OAR161	0
3OAR181	0
G1PTT	1.7
GALUi	-1.3
PAPPT3	-0.4
ACONTa	0
ACONTb	0
AKGDH	-28
CITL	3.8
CS	-38.2
FRD2	-34
FRD3	-12
ICDHyr	5.4
MDH2	0
MDH3	0
PYRC	-6.7
SUCOAS	1.3
2MAHMP	-35
ACBIPGT	0
ACPS1	0
ADCL	-90
ADCS	-18
ADOCBIK	0
ADOCBLS	0
ALATA_D2	1.4
ALATA_L2	1.3
AMAOTr	-1.072663246
AMMQLT8	0
AMPMS2	182
ASP1DC	0
ASPO5	0.1
BMOCOS	0
BTS4	0
BWCOS	0
CDPMEK	-9
CPMPS	0
CPPPGO	-355
CPPPGO2	0
DB4PS	-87.6
DBTS	6
DHFS	-19.8
DHNCOAS	0
DHNCOAT	0
DHPPDA2	0
DHPS2	-62
DHPTPE	-12
DMATT	-79.2
DMPPS	-63
DPCOAK	3.2
DPR	-16.5
DXPRIi	-13.6
DXPS	-29.8
FCLT	0
FMNAT	-11
G1SAT	-9.2
GDPDPK	-15
GDPTPDP	-29
GLUCYS	-35
GLUTRR	0
GLYOD	-88
GRTT	-80.6
GTHOr	-13.1
GTHRDHpp	-1.9
GTPCI	-67
GTPDPDP	-28.7
GTPDPK	-13
HETZK	-17.8
HMBS	-132
HPPK2	-6
ICHORS	1
IPDPS	-58.2
LIPAMPL	0
LIPATPT	0
LIPOCT	0
LIPOS	0
MECDPDH2	0
MECDPS	0
MEPCT	-9.3
MOCOS	0
MOHMT	10
MPTAT	0
MPTS	0
MPTSS	0
MSDHD	-25
NADDP	-38.9
NADK	-12.2
NADPPPS	-16.9
NADS1	-22.5
NNAM	-4.3
NNDMBRT	-23
NNDPR	-27
NPHS	-108
OCTDPS	-403
OCTNLL	0
OHPBAT	10.6
OMBZLM	0
PANTS	0
PMPK	6
PNTK	-17.3
PPBNGS	-103
PPCDC	-21.2
PPGPPDP	-27
PPNCL2	-56
PPPGO	0
PPPGO3	0
PTPATi	-19
PY5PSH	-304
PYDAMK	-15.3
PYDXK	-17
PYDXNK	-9.6
QULNS	-219
RBFSa	-98
RBFSb	-97
RZ5PP	-15.2
SEPHCHCS	-3
