id	lnClb	lnCub
10fthf_c	-14.50865774	-3.912023005
13dpg_c	-14.50865774	-3.912023005
14dhncoa_c	-14.50865774	-3.912023005
1ag3p_SC_c	-14.50865774	-3.912023005
1ddecg3p_c	-14.50865774	-3.912023005
1hdec9eg3p_c	-14.50865774	-3.912023005
1hdecg3p_c	-14.50865774	-3.912023005
1odec11eg3p_c	-14.50865774	-3.912023005
1odecg3p_c	-14.50865774	-3.912023005
1pyr5c_c	-14.50865774	-3.912023005
1tdec7eg3p_c	-14.50865774	-3.912023005
1tdecg3p_c	-14.50865774	-3.912023005
23dhacoa_c	-14.50865774	-3.912023005
23dhdp_c	-14.50865774	-3.912023005
23dhmb_c	-14.50865774	-3.912023005
23dhmp_c	-14.50865774	-3.912023005
25aics_c	-14.50865774	-3.912023005
25drapp_c	-14.50865774	-3.912023005
26dap_LL_c	-14.50865774	-3.912023005
26dap_M_c	-14.50865774	-3.912023005
26dap_M_e	-14.50865774	-3.912023005
2ahbut_c	-14.50865774	-3.912023005
2cpr5p_c	-14.50865774	-3.912023005
2dda7p_c	-14.50865774	-3.912023005
2dhp_c	-14.50865774	-3.912023005
2dmmq8_c	-14.50865774	-3.912023005
2dmmql8_c	-14.50865774	-3.912023005
2dr5p_c	-14.50865774	-3.912023005
2fe2s_c	-14.50865774	-3.912023005
2h3oppan_c	-14.50865774	-3.912023005
2ins_c	-14.50865774	-3.912023005
2ippm_c	-14.50865774	-3.912023005
2mahmp_c	-14.50865774	-3.912023005
2mcacn_c	-14.50865774	-3.912023005
2mcit_c	-14.50865774	-3.912023005
2me4p_c	-14.50865774	-3.912023005
2mecdp_c	-14.50865774	-3.912023005
2mop_c	-14.50865774	-3.912023005
2obut_c	-14.50865774	-3.912023005
2ombzl_c	-14.50865774	-3.912023005
2ommbl_c	-14.50865774	-3.912023005
2p4c2me_c	-14.50865774	-3.912023005
2pg_c	-14.50865774	-3.912023005
2pglyc_c	-14.50865774	-3.912023005
2saa_c	-14.50865774	-3.912023005
2sephchc_c	-14.50865774	-3.912023005
34hpp_c	-14.50865774	-3.912023005
3amp_c	-14.50865774	-3.912023005
3amp_e	0	0
3c2hmp_c	-14.50865774	-3.912023005
3c3hmp_c	-14.50865774	-3.912023005
3c4mop_c	-14.50865774	-3.912023005
3cmp_c	-14.50865774	-3.912023005
3cmp_e	0	0
3dhq_c	-14.50865774	-3.912023005
3dhsk_c	-14.50865774	-3.912023005
3gmp_c	-14.50865774	-3.912023005
3gmp_e	0	0
3haACP_c	-14.50865774	-3.912023005
3hadpcoa_c	-14.50865774	-3.912023005
3hcddec5eACP_c	-14.50865774	-3.912023005
3hcmrs7eACP_c	-14.50865774	-3.912023005
3hcpalm9eACP_c	-14.50865774	-3.912023005
3hcvac11eACP_c	-14.50865774	-3.912023005
3hddecACP_c	-14.50865774	-3.912023005
3hdecACP_c	-14.50865774	-3.912023005
3hhexACP_c	-14.50865774	-3.912023005
3hmrsACP_c	-14.50865774	-3.912023005
3hoctaACP_c	-14.50865774	-3.912023005
3hoctACP_c	-14.50865774	-3.912023005
3hpalmACP_c	-14.50865774	-3.912023005
3ig3p_c	-14.50865774	-3.912023005
3mob_c	-14.50865774	-3.912023005
3mop_c	-14.50865774	-3.912023005
3ocddec5eACP_c	-14.50865774	-3.912023005
3ocmrs7eACP_c	-14.50865774	-3.912023005
3ocpalm9eACP_c	-14.50865774	-3.912023005
3ocvac11eACP_c	-14.50865774	-3.912023005
3oddecACP_c	-14.50865774	-3.912023005
3odecACP_c	-14.50865774	-3.912023005
3ohexACP_c	-14.50865774	-3.912023005
3omrsACP_c	-14.50865774	-3.912023005
3ooctACP_c	-14.50865774	-3.912023005
3ooctdACP_c	-14.50865774	-3.912023005
3opalmACP_c	-14.50865774	-3.912023005
3pg_c	-14.50865774	-3.912023005
3php_c	-14.50865774	-3.912023005
3psme_c	-14.50865774	-3.912023005
3ump_c	-14.50865774	-3.912023005
3ump_e	0	0
4abut_c	-14.50865774	-3.912023005
4abut_e	0	0
4abz_c	-14.50865774	-3.912023005
4adcho_c	-14.50865774	-3.912023005
4ampm_c	-14.50865774	-3.912023005
4c2me_c	-14.50865774	-3.912023005
4crsol_c	-14.50865774	-3.912023005
4fe4s_c	-14.50865774	-3.912023005
4mhetz_c	-14.50865774	-3.912023005
4mop_c	-14.50865774	-3.912023005
4mpetz_c	-14.50865774	-3.912023005
4pasp_c	-14.50865774	-3.912023005
4ppan_c	-14.50865774	-3.912023005
4ppcys_c	-14.50865774	-3.912023005
4r5au_c	-14.50865774	-3.912023005
5aizc_c	-14.50865774	-3.912023005
5aop_c	-14.50865774	-3.912023005
5apru_c	-14.50865774	-3.912023005
5caiz_c	-14.50865774	-3.912023005
5dh4dglc_c	-14.50865774	-3.912023005
5fthf_c	-14.50865774	-3.912023005
5mta_c	-14.50865774	-3.912023005
5mthf_c	-14.50865774	-3.912023005
5prdmbz_c	-14.50865774	-3.912023005
6hmhpt_c	-14.50865774	-3.912023005
6hmhptpp_c	-14.50865774	-3.912023005
6p5d2dg_c	-14.50865774	-3.912023005
6pgc_c	-14.50865774	-3.912023005
6pgl_c	-14.50865774	-3.912023005
8aonn_c	-14.50865774	-3.912023005
aacoa_c	-14.50865774	-3.912023005
ac_c	-14.50865774	-3.912023005
ac_e	0	0
acac_c	-14.50865774	-3.912023005
acac_e	0	0
acACP_c	-14.50865774	-3.912023005
acald_c	-14.50865774	-3.912023005
acald_e	0	0
accoa_c	-14.50865774	-3.912023005
acg5p_c	-14.50865774	-3.912023005
acg5sa_c	-14.50865774	-3.912023005
acgam_c	-14.50865774	-3.912023005
acgam_e	0	0
acgam1p_c	-14.50865774	-3.912023005
acgam1p_e	0	0
acgam6p_c	-14.50865774	-3.912023005
acglc_D_c	-14.50865774	-3.912023005
acglu_c	-14.50865774	-3.912023005
achms_c	-14.50865774	-3.912023005
acmalt_c	-14.50865774	-3.912023005
acmana_c	-14.50865774	-3.912023005
acmana_e	0	0
acmanap_c	-14.50865774	-3.912023005
acmum_e	0	0
acmum6p_c	-14.50865774	-3.912023005
acnam_c	-14.50865774	-3.912023005
acon_C_c	-14.50865774	-3.912023005
acorn_c	-14.50865774	-3.912023005
ACP_c	-14.50865774	-3.912023005
