reaction	g0
F6Pt6_2	0
2S6HCCi	-95
26DPAi	-19
3AMBAt2	0
FDH	-14.4
FDMO_1	0
AAMYL_1	0
FBP	-12
FCLT_2	0
FDMO1	0
FDMO2_1	0
FDMO3_1	0
AB6PGH	20
ABUTD	-52.1
FDMO4_1	0
FDMO5_1	0
FDMO6_1	0
ACCOAC	-8.6
ACGApts	-37.1
ACGK	24.6
FE2abc	-29.14
ACGS	-25.2
FOLD3	-62
ACMANAt2	0
ACNAMt2	0
ALLTNt2r	0
ADEt2	0
ACLDC	-15
ACODA_1	-7.1
ACOAD20	-345
ACOADH2	-340
ACPS1	0
APATi	26
APRAUR	-25.9
APSR	-37
ACPpds	0
ACS	-7.6
APTA1i	0
ACS2	0
ACTD2	-5.7
ACTNabc	-29.14
ACTNabc1	-29.14
ADADir	-12.7
ADNK1	-14.5
ADCL	-90
ADD	-21.1
ALLTN	-59
ALTRH	-35
ARBTpts	-39.6
ADCS	-18
AMAA	0
AMMQT7	0
ANPRT	-62
ADPRDP	-29.4
ANS	-109
ANTIMt1	0
AOXSr	17
ARBabc	-29.14
ARBt2r	0
ARGDC	-3
ADPT	-21.4
ADSS	0.5
AGDC	-9
ARGN_1	-34
AGMT	-59
AHCYSNS	-16.4
ASNt2r	0
ASPt2r	0
AHMMPS_1	81
AKGDH	-28
AIRC1	-32.4
ATPM	-29.14
AKGt2r	0
AKP1	-90
ALAD_L	34.2
CITRt2r	0
DALAt2r	0
ARSNAt1	0
ALAt2r	0
ARSt1	0
ARGabc	-29.14
ARGt2r	0
ARSENBabc	-29.14
CYSGLYt2ir	0
CYSTabc	-29.14
ARSENBt2	0
ASNN	-17.5
ASNS1	-39
CYSabc	-29.14
DEXTRINt2	0
ASP1DC	-17
ASPCT	-22.4
ASPO6	-71
ASPO1	-93
ASPT	13.2
DADNt2	0
BETALDHx	-41.3
BG_CELLB	-12.8
CYSS_2	-51
DHPPDA	0
BG_MADG	7
BG_MBDG	0
BILEt4	0
DDPA	-74.4
CRNabc	-29.14
CTPS1	-6.2
BTS_1	0
CPPPGO	-355
CRO4t3	0
CS	-38.2
CTPS2	-20.5
CYOR3m	0
BUTSabc	-29.14
CA2abc1	-29.14
CAT	-192
CYOO3	0
CYSTGL	3
CYSTL	0.5
CYSTS	-30.7
DCYTD	-20.7
CYTB_B2	-201
CYTB_B3	-201
CBL2abc	-29.14
CD2t4	0
CBPS	-13.5
CYTD	-14.4
DJENKabc	-29.14
CYTDK1	-15.2
CD2abc1	-29.14
CDGPT_BS	0
CDPDSP_BS	0
CDPMEK	-9
CHCOAL	-17.6
CYTDK2	-12.5
DCYTt2	0
CHOLD2	-1.5
CHORM	-49
CHORS	-46
CITt10	0
CITt11	0
CITt12	0
D4DGCD	0
Cut1	-29.14
DAAOP	-2
DAGK_BS	0
DALAOX	-96
CITt13	0
CLPNS2_BS	0
CITt14	0
DAPDC	-16
ETHAAL	-36
DB4PS	-87.6
DBTS	6
FORAMD	-29
DCMPDA	-23.8
ETOHt3	0
CMPDAi	-20
FRTT	-80.6
DDGLK	-22
DGNSK	-14.9
G1Pt6_2	0
DHAD1	-36.9
G3POA_BS	0
DHAD2	-36.9
DHBS	0
DHDPRy	-22
DHDPS	-128
G6Pt6_2	0
GALTpts	-43.5
DHFS	-19.8
DHNAOT7	0
GGTT	-80.6
GCALDD	-65.7
GAPD	1.8
G1Dx	-6.8
GALt2	0
DHNPA_1	0
ETHSabc	-29.14
GBBTNabc	-29.14
GLCRAL_1	25.2
GLU_Dt2	0
